Handle,TweetID,Tweet,Sample1,Sample2,Sample3
NASA,1200211533248245762,"50 years ago, #Apollo12 astronauts celebrated Thanksgiving aboard the @USNavy's USS Hornet, still in quarantine aft… https://t.co/UlYTwbWrFF",1,0,0
NASA,1200174000548327427,Taking a break from cooking while you enjoy Thanksgiving leftovers? Did you know the @Space_Station crew never has… https://t.co/AAY7n9Q7x1,1,0,0
NASA,1200151426116308992,"RT @NASA_Astronauts: Do you have pencils in space? What food do you eat? How do you say astronaut in Russian?✏️👨‍🚀🍤 
In the spirit of Thank…",1,0,0
NASA,1200145673011834880,"Whether your Thanksgiving meal is floating in front of you or firmly on your table, we hope your holiday is out of… https://t.co/RZErKAIMZ1",1,0,0
NASA,1200114866222178309,RT @Astro_Christina: They all felt like Friendsgiving. Thankful this year for five different crews and the memories we had together on @Spa…,1,0,0
NASA,1200112126397943813,Did you know the @space_station crew eats a Thanksgiving meal just like us? Now you can make the same cornbread dre… https://t.co/ALo8hEX7ex,1,0,0
NASA,1200106755348484102,"RT @NASASolarSystem: On their way home from the Moon 50 years ago, the #Apollo12 astronauts witnessed this view of Earth eclipsing the Sun.…",1,0,0
NASA,1200082522539020288,@DianaRuggOnTV @Snoopy https://t.co/4z7tU2uVLq,1,0,0
NASA,1200082174051069952,@RachelFesko @Snoopy https://t.co/a49E1qwEeX,1,0,0
NASA,1200076922627280896,RT @Snoopy: #AstronautSnoopy is floating in the Thanksgiving Day Parade and in space! Watch him aboard the @Space_Station with @nasa Astron…,1,0,0
NASA,1200072399099777024,"As we work to return astronauts to the Moon with our Artemis program, #AstronautSnoopy is on orbit aboard the… https://t.co/B0o1MLqbhd",1,0,0
NASA,1200070663345725440,Fun fact: #AstronautSnoopy made his first debut in the #ThanksgivingDayParade in 1969. 🎈👨‍🚀✨ Working with @Snoopy f… https://t.co/PFhiiFcWOy,1,0,0
NASA,1200067662979706889,@RoseMar33079791 https://t.co/2X08jnZwlL,1,0,0
NASA,1199894306057838593,RT @Space_Station: The @SpaceX #Dragon resupply ship is targeted to launch Dec. 4 and arrive at the station on Dec. 7. @NASA TV is broadcas…,1,0,0
NASA,1199861212089073664,"RT @Macys: In honor of the 50th Anniversary of the moon landing, the world’s most beloved beagle is getting an out-of-this world makeover f…",1,0,0
NASA,1199825236063072258,"📸 After a close flyby of Jupiter, a look back by @NASAJuno with its JunoCam shows the giant planet's southern hemis… https://t.co/u6SOf0ylAF",1,0,0
NASA,1199799054793953280,@KilbyPlum https://t.co/xvcG1S4cro,1,0,0
NASA,1199795032447995904,🎉 A ribbon-cutting at @NASAKennedy celebrated the opening of a @NASASCaN ground station with a 20-ft antenna. It's… https://t.co/eDroTNtXwB,1,0,0
NASA,1199764835795386368,"Want to tour some of the aircraft we use to study our planet? ✈️ 🌎 

Register for this @NASAEarth #NASASocial to go… https://t.co/Y6hcCetoEP",1,0,0
NASA,1199742488422109184,@thebigm https://t.co/RvjKFM6GVJ,1,0,0
Handle,1115224193715466240,"@brucedaisley It’s not published yet, will be April 10th! We could link you when it’s live! How’s that sound?",0,1,0
Handle,1115221879147466754,"@brucedaisley It’s about our new 2019 application, we are trying to brand ourselves around the new calendar we have… https://t.co/EldRX2Y6eC",0,1,0
Handle,1115219983208837121,@brucedaisley Hi Bruce. Do you have an email we could reach? We are interested in having a ticket escalated for our… https://t.co/PSt8HYEeGS,0,1,0
Handle,1115098376528252928,"Our App will officially be updated on April 10th, 2019! #Handle",0,1,0
Handle,1114896595277869057,"Updates to the application on the apple store will be coming out soon! Stay tuned!

2019 Handle Rebrand!",0,1,0
Handle,1114305365162598401,"It’s your life, we’ll help you handle it.",0,1,0
Handle,1114299026457780224,Official Re-Launch: 4/10/19,0,1,0
business,1200244678404300801,Bundesbank chief rejects calls for the European Central Bank to include environmental goals in its quantitative-eas… https://t.co/12THWAuaM4,0,0,1
business,1200244311616638976,"These are the biggest risks for 2020, according to CEOs and experts at the recent #NewEconForum… https://t.co/0vaigczuiI",0,0,1
business,1200243830789984256,What happened in the world economy – catch up with Bloomberg's big reads of the week https://t.co/5YXSKapCR9,0,0,1
business,1200241255076319237,India's economy probably just had its weakest performance in more than six years https://t.co/QV8sMp3MSg,0,0,1
business,1200240212519063552,RT @BloombergAsia: Sri Lanka keeps benchmark interest rate unchanged at 8% in the central bank governor's final meeting before he steps dow…,0,0,1
business,1200239518202421249,Tories are angry after PM Boris Johnson was replaced with a melting ice sculpture in a climate debate https://t.co/teziEc6KoX,0,0,1
business,1200237985687584769,"The U.S. is starting to overtake China in the trade war, at least in financial markets https://t.co/ALiMcN69DE",0,0,1
business,1200237198056067072,Bayer criticizes Mexico for stopping imports of the key ingredient in its Roundup herbicide https://t.co/KcoG9sNlre,0,0,1
